Nr.,Sursa,Nume Document,Link Download,Pagina Gasita
159,Ministerul Economiei,Programul Anual al Achizițiilor Publice pentru anul bugetar 2025,https://economie.gov.ro/wp-content/uploads/2025/03/PAAP-V6-_2025.pdf,https://economie.gov.ro/transparenta-institutionala/achizitii-publice/
160,Ministerul Economiei,Programul Anual al Achizițiilor Publice pentru anul bugetar 2024,https://economie.gov.ro/wp-content/uploads/2025/03/Programul-Anual-al-Achizitiilor-Publice-pentru-anul-bugetar-2024.pdf,https://economie.gov.ro/transparenta-institutionala/achizitii-publice/
161,Ministerul Economiei,PAAP actualizat luna septembrie 2022.pdf,https://oldeconomie.gov.ro/images/achizitii%20publice/2022/PAAP%20actualizat%20luna%20septembrie%202022.pdf,https://economie.gov.ro/transparenta-institutionala/achizitii-publice/
162,Ministerul Economiei,PAAP 31.08.2021.pdf,https://oldeconomie.gov.ro/images/achizitii/2021/PAAP31.08.2021.pdf,https://economie.gov.ro/transparenta-institutionala/achizitii-publice/
163,Ministerul Economiei,PAAP 2020,https://oldeconomie.gov.ro/images/achizitii%20publice/2020/PAAP%202020-V22.pdf,https://economie.gov.ro/transparenta-institutionala/achizitii-publice/
164,Ministerul Economiei,PAAP 2019 buget.PDF,https://oldeconomie.gov.ro/images/achizitii%20publice/PAAP%202019%20buget%20V5.PDF,https://economie.gov.ro/transparenta-institutionala/achizitii-publice/
165,Ministerul Economiei,PAAP Sipoca 388_13.05.pdf,https://oldeconomie.gov.ro/images/achizitii%20publice/PAAP%20Sipoca%20388_13.05.pdf,https://economie.gov.ro/transparenta-institutionala/achizitii-publice/
166,Ministerul Economiei,PAAP Sipoca 449_13.05.pdf,https://oldeconomie.gov.ro/images/achizitii%20publice/PAAP%20Sipoca%20449_13.05.pdf,https://economie.gov.ro/transparenta-institutionala/achizitii-publice/
167,Ministerul Economiei,PAAP 2018 buget.pdf,https://oldeconomie.gov.ro/images/achizitii/2018/PAAP%202018%20buget.pdf,https://economie.gov.ro/transparenta-institutionala/achizitii-publice/
168,Ministerul Economiei,PAAP 2018 proiect SIPOCA 388.pdf,https://oldeconomie.gov.ro/images/achizitii/2017/PAAP%202018%20proiect%20SIPOCA%20388.pdf,https://economie.gov.ro/transparenta-institutionala/achizitii-publice/
169,Ministerul Economiei,PAAP buget 2017 - V 7.pdf,https://oldeconomie.gov.ro/images/achizitii/2017/PAAP%20buget%202017%20-%20V%207.pdf,https://economie.gov.ro/transparenta-institutionala/achizitii-publice/
170,Ministerul Economiei,PAAP buget 2017 - V8.pdf,https://oldeconomie.gov.ro/images/achizitii/2017/PAAP%20buget%202017%20-%20V8.pdf,https://economie.gov.ro/transparenta-institutionala/achizitii-publice/
171,Ministerul Economiei,PAAP buget 2017- V9.pdf,https://oldeconomie.gov.ro/images/achizitii/2017/PAAP%20buget%202017-%20V9.pdf,https://economie.gov.ro/transparenta-institutionala/achizitii-publice/
172,Ministerul Economiei,PAAP_2_2016 buget - V2.pdf,https://oldeconomie.gov.ro/images/achizitii/PAAP_2_2016%20buget%20-%20V2.pdf,https://economie.gov.ro/transparenta-institutionala/achizitii-publice/
173,Inspectoratul de Stat in Constructii (ISC),PAAP Decembrie 2023 revizuit,https://isc.gov.ro/files/2023/Achizitii/PAAP Decembrie 2023_revizuit.pdf,https://isc.gov.ro/program_achizitii_2023.html
174,Inspectoratul de Stat in Constructii (ISC),PAAP Decembrie 2023,https://isc.gov.ro/files/2023/Achizitii/PAAP Decembrie 2023.pdf,https://isc.gov.ro/program_achizitii_2023.html
175,Inspectoratul de Stat in Constructii (ISC),PAAP Noiembrie 2023,https://isc.gov.ro/files/2023/Achizitii/PAAP Noiembrie 2023.pdf,https://isc.gov.ro/program_achizitii_2023.html
176,Inspectoratul de Stat in Constructii (ISC),PAAP August 2023,https://isc.gov.ro/files/2023/Achizitii/PAAP August 2023.pdf,https://isc.gov.ro/program_achizitii_2023.html
177,Inspectoratul de Stat in Constructii (ISC),PAAP IUNIE 2023,https://isc.gov.ro/files/2023/Achizitii/PAAP IUNIE 2023.pdf,https://isc.gov.ro/program_achizitii_2023.html
178,Inspectoratul de Stat in Constructii (ISC),PAAP MARTIE 2023,https://isc.gov.ro/files/2023/Achizitii/PAAP MARTIE 2023.pdf,https://isc.gov.ro/program_achizitii_2023.html
179,Inspectoratul de Stat in Constructii (ISC),PAAP FEBRUARIE 2023,https://isc.gov.ro/files/2023/Achizitii/PAAP FEBRUARIE 2023.pdf,https://isc.gov.ro/program_achizitii_2023.html
180,Inspectoratul de Stat in Constructii (ISC),PAAP Proiect 2023,https://isc.gov.ro/files/2023/Achizitii/PAAP Proiect 2023.pdf,https://isc.gov.ro/program_achizitii_2023.html
181,Inspectoratul de Stat in Constructii (ISC),PAAP LUNA DECEMBRIE 2022,https://isc.gov.ro/files/2022/Achizitii/PAAP LUNA DECEMBRIE 2022.pdf,https://isc.gov.ro/program_achizitii_2022.html
182,Inspectoratul de Stat in Constructii (ISC),PAAP OCTOMBRIE 2022,https://isc.gov.ro/files/2022/Achizitii/PAAP OCTOMBRIE 2022.pdf,https://isc.gov.ro/program_achizitii_2022.html
183,Inspectoratul de Stat in Constructii (ISC),PAAP SEPTEMBRIE   Revizuit 1 2022,https://isc.gov.ro/files/2022/Achizitii/PAAP SEPTEMBRIE - Revizuit 1 2022.pdf,https://isc.gov.ro/program_achizitii_2022.html
184,Inspectoratul de Stat in Constructii (ISC),PAAP revizuit iulie 2022,https://isc.gov.ro/files/2022/Achizitii/PAAP revizuit iulie 2022.pdf,https://isc.gov.ro/program_achizitii_2022.html
185,Inspectoratul de Stat in Constructii (ISC),PAAP MAI 2022,https://isc.gov.ro/files/2022/Achizitii/PAAP MAI 2022.pdf,https://isc.gov.ro/program_achizitii_2022.html
186,Inspectoratul de Stat in Constructii (ISC),PAAP APRILIE 2022,https://isc.gov.ro/files/2022/Achizitii/PAAP APRILIE 2022.pdf,https://isc.gov.ro/program_achizitii_2022.html
187,Inspectoratul de Stat in Constructii (ISC),Programul anual al achizitiilor publice   Martie 2022,https://isc.gov.ro/files/2022/Achizitii/Programul anual al achizitiilor publice - Martie 2022.pdf,https://isc.gov.ro/program_achizitii_2022.html
188,Inspectoratul de Stat in Constructii (ISC),Programul anual al achizitiilor publice   Ianuarie 2022,https://isc.gov.ro/files/2022/Achizitii/Programul anual al achizitiilor publice - Ianuarie 2022.pdf,https://isc.gov.ro/program_achizitii_2022.html
189,Inspectoratul de Stat in Constructii (ISC),Programul anual al achizitiilor publice  2022   proiect,https://isc.gov.ro/files/2021/Achizitii/Programul anual al achizitiilor publice  2022 - proiect.pdf,https://isc.gov.ro/program_achizitii_2022.html
190,Inspectoratul de Stat in Constructii (ISC),PAAP SEPTEMBRIE 2022,https://isc.gov.ro/files/2021/Achizitii/PAAP SEPTEMBRIE 2022.pdf,https://isc.gov.ro/program_achizitii_2022.html
191,Inspectoratul de Stat in Constructii (ISC),PAAP 2020 Decembrie   publicat,https://isc.gov.ro/files/2020/Achizitii/PAAP 2020 Decembrie - publicat.pdf,https://isc.gov.ro/program_achizitii_2020.html
192,Inspectoratul de Stat in Constructii (ISC),PAAP 2020 Noiembrie   publicat,https://isc.gov.ro/files/2020/Achizitii/PAAP 2020 Noiembrie - publicat.pdf,https://isc.gov.ro/program_achizitii_2020.html
193,Inspectoratul de Stat in Constructii (ISC),PAAP 2020 Octombrie Rev 1   publicat,https://isc.gov.ro/files/2020/Achizitii/PAAP 2020 Octombrie Rev 1 - publicat.pdf,https://isc.gov.ro/program_achizitii_2020.html
194,Inspectoratul de Stat in Constructii (ISC),PAAP octombrie   publicat,https://isc.gov.ro/files/2020/Achizitii/PAAP octombrie - publicat.pdf,https://isc.gov.ro/program_achizitii_2020.html
195,Inspectoratul de Stat in Constructii (ISC),PAAP septembrie,https://isc.gov.ro/files/2020/Achizitii/PAAP septembrie.pdf,https://isc.gov.ro/program_achizitii_2020.html
196,Inspectoratul de Stat in Constructii (ISC),PAAP 2020 August   publicat,https://isc.gov.ro/files/2020/Achizitii/PAAP 2020 August - publicat.pdf,https://isc.gov.ro/program_achizitii_2020.html
197,Inspectoratul de Stat in Constructii (ISC),PAAP Iulie 2020   revizuit 1,https://isc.gov.ro/files/2020/Achizitii/PAAP Iulie 2020 - revizuit 1.pdf,https://isc.gov.ro/program_achizitii_2020.html
198,Inspectoratul de Stat in Constructii (ISC),PAAP Iulie 2020 (aprobat),https://isc.gov.ro/files/2020/Achizitii/PAAP Iulie 2020 (aprobat).pdf,https://isc.gov.ro/program_achizitii_2020.html
199,Inspectoratul de Stat in Constructii (ISC),PAAP 2020 Iunie,https://isc.gov.ro/files/2020/Achizitii/PAAP 2020 Iunie.pdf,https://isc.gov.ro/program_achizitii_2020.html
200,Inspectoratul de Stat in Constructii (ISC),PAAP sipoca 587 18331 14.05.2020,https://isc.gov.ro/files/2020/Achizitii/PAAP sipoca 587 18331-14.05.2020.pdf,https://isc.gov.ro/program_achizitii_2020.html
201,Inspectoratul de Stat in Constructii (ISC),PAAP 2020 Aprilie (aprobat),https://isc.gov.ro/files/2020/Achizitii/PAAP 2020 Aprilie (aprobat).pdf,https://isc.gov.ro/program_achizitii_2020.html
202,Inspectoratul de Stat in Constructii (ISC),PAAP 2020 Martie (aprobat),https://isc.gov.ro/files/2020/Achizitii/PAAP 2020 Martie (aprobat).pdf,https://isc.gov.ro/program_achizitii_2020.html
203,Inspectoratul de Stat in Constructii (ISC),PAAP Sipoca 587 10104 02.03.2020,https://isc.gov.ro/files/2020/Achizitii/PAAP Sipoca 587 10104-02.03.2020.pdf,https://isc.gov.ro/program_achizitii_2020.html
204,Inspectoratul de Stat in Constructii (ISC),PAAP 2020 Februarie Rev 1,https://isc.gov.ro/files/2020/Achizitii/PAAP 2020 Februarie Rev 1.pdf,https://isc.gov.ro/program_achizitii_2020.html
205,Inspectoratul de Stat in Constructii (ISC),PAAP 2020 Februarie,https://isc.gov.ro/files/2020/Achizitii/PAAP 2020 Februarie.pdf,https://isc.gov.ro/program_achizitii_2020.html
206,Inspectoratul de Stat in Constructii (ISC),PAAP 2020 Ianuarie ver1,https://isc.gov.ro/files/2020/Achizitii/PAAP 2020 Ianuarie ver1.pdf,https://isc.gov.ro/program_achizitii_2020.html
207,Inspectoratul de Stat in Constructii (ISC),PAAP 50343 nov 2019,https://isc.gov.ro/files/2019/Achizitii/PAAP 50343 nov 2019.pdf,https://isc.gov.ro/program_achizitii_2019.html
208,Inspectoratul de Stat in Constructii (ISC),PAAP octombrie 2019 revizuit 2,https://isc.gov.ro/files/2019/Achizitii/PAAP octombrie 2019 revizuit 2.pdf,https://isc.gov.ro/program_achizitii_2019.html
209,Inspectoratul de Stat in Constructii (ISC),PAAP Octombrie Revizuit 1,https://isc.gov.ro/files/2019/Achizitii/PAAP Octombrie Revizuit 1.pdf,https://isc.gov.ro/program_achizitii_2019.html
210,Inspectoratul de Stat in Constructii (ISC),PAAP OCTOMBRIE 2019,https://isc.gov.ro/files/2019/Achizitii/PAAP OCTOMBRIE 2019.pdf,https://isc.gov.ro/program_achizitii_2019.html
211,Inspectoratul de Stat in Constructii (ISC),PAAP Septembrie Revizuit 2,https://isc.gov.ro/files/2019/Achizitii/PAAP Septembrie Revizuit 2.pdf,https://isc.gov.ro/program_achizitii_2019.html
212,Inspectoratul de Stat in Constructii (ISC),PAAP Septembrie 2019   Revizuit 1,https://isc.gov.ro/files/2019/Achizitii/PAAP Septembrie 2019 - Revizuit 1.pdf,https://isc.gov.ro/program_achizitii_2019.html
213,Inspectoratul de Stat in Constructii (ISC),PAAP SIPOCA 587,https://isc.gov.ro/files/2019/Achizitii/PAAP SIPOCA 587.pdf,https://isc.gov.ro/program_achizitii_2019.html
214,Inspectoratul de Stat in Constructii (ISC),PAAP Septembrie 2019,https://isc.gov.ro/files/2019/Achizitii/PAAP Septembrie 2019.pdf,https://isc.gov.ro/program_achizitii_2019.html
215,Inspectoratul de Stat in Constructii (ISC),PAAP August Revizuit 1,https://isc.gov.ro/files/2019/Achizitii/PAAP August Revizuit 1.pdf,https://isc.gov.ro/program_achizitii_2019.html
216,Inspectoratul de Stat in Constructii (ISC),PAAP August 2019,https://isc.gov.ro/files/2019/Achizitii/PAAP August 2019.pdf,https://isc.gov.ro/program_achizitii_2019.html
217,Inspectoratul de Stat in Constructii (ISC),PAAP Iunie 2019 revizuit,https://isc.gov.ro/files/2019/Achizitii/PAAP Iunie 2019 revizuit.pdf,https://isc.gov.ro/program_achizitii_2019.html
218,Inspectoratul de Stat in Constructii (ISC),PAAP iunie 2019,https://isc.gov.ro/files/2019/Achizitii/PAAP iunie 2019.pdf,https://isc.gov.ro/program_achizitii_2019.html
219,Inspectoratul de Stat in Constructii (ISC),PAAP aprilie 2019,https://isc.gov.ro/files/2019/Achizitii/PAAP aprilie 2019.pdf,https://isc.gov.ro/program_achizitii_2019.html
220,Inspectoratul de Stat in Constructii (ISC),PAAP martie 2019,https://isc.gov.ro/files/2019/Achizitii/PAAP martie 2019.pdf,https://isc.gov.ro/program_achizitii_2019.html
221,Inspectoratul de Stat in Constructii (ISC),PAAP februarie 2019,https://isc.gov.ro/files/2019/Achizitii/PAAP februarie 2019.pdf,https://isc.gov.ro/program_achizitii_2019.html
222,Inspectoratul de Stat in Constructii (ISC),PAAP Ianuarie 2019,https://isc.gov.ro/files/2019/Achizitii/PAAP Ianuarie 2019.pdf,https://isc.gov.ro/program_achizitii_2019.html
223,Inspectoratul de Stat in Constructii (ISC),PAAP 2019,https://isc.gov.ro/files/2018/Achizitii/PAAP 2019.pdf,https://isc.gov.ro/program_achizitii_2019.html
224,Inspectoratul de Stat in Constructii (ISC),PAAP rev 11 2014,https://isc.gov.ro/files/2016/Achizitii/PAAP_rev_11_2014.pdf,https://isc.gov.ro/program_achizitii_2014.html
225,Inspectoratul de Stat in Constructii (ISC),PAAP 2014 11,https://isc.gov.ro/files/2016/Achizitii/PAAP 2014 11.pdf,https://isc.gov.ro/program_achizitii_2014.html
226,Inspectoratul de Stat in Constructii (ISC),PAAP 2014 10 revizuit II,https://isc.gov.ro/files/2016/Achizitii/PAAP 2014 10 revizuit II.pdf,https://isc.gov.ro/program_achizitii_2014.html
227,Inspectoratul de Stat in Constructii (ISC),PAAP 10.2014,https://isc.gov.ro/files/2016/Achizitii/PAAP_10.2014.pdf,https://isc.gov.ro/program_achizitii_2014.html
228,Inspectoratul de Stat in Constructii (ISC),PAAP 092014,https://isc.gov.ro/files/2016/Achizitii/PAAP_092014.pdf,https://isc.gov.ro/program_achizitii_2014.html
229,Inspectoratul de Stat in Constructii (ISC),Program Anual al Achizitiilor Publice revizuit august 2014,https://isc.gov.ro/files/2016/Achizitii/Program Anual al Achizitiilor Publice revizuit august 2014.pdf,https://isc.gov.ro/program_achizitii_2014.html
230,Inspectoratul de Stat in Constructii (ISC),Program Anual al Achizitiilor Publice revizuit martie 2014,https://isc.gov.ro/files/2016/Achizitii/Program Anual al Achizitiilor Publice revizuit martie 2014.pdf,https://isc.gov.ro/program_achizitii_2014.html
231,Inspectoratul de Stat in Constructii (ISC),PAAP OCTOMBRIE 2024 Rev1 pub pe site,https://isc.gov.ro/files/2024/Achizitii/PAAP OCTOMBRIE 2024_Rev1_pub pe site.pdf,https://isc.gov.ro/program_achizitii_2024.html
232,Inspectoratul de Stat in Constructii (ISC),PAAP OCTOMBRIE 2024,https://isc.gov.ro/files/2024/Achizitii/PAAP OCTOMBRIE 2024.pdf,https://isc.gov.ro/program_achizitii_2024.html
233,Inspectoratul de Stat in Constructii (ISC),PAAP SEPTEMBRIE 2024,https://isc.gov.ro/files/2024/Achizitii/PAAP SEPTEMBRIE 2024.pdf,https://isc.gov.ro/program_achizitii_2024.html
234,Inspectoratul de Stat in Constructii (ISC),PAAP AUGUST 2024,https://isc.gov.ro/files/2024/Achizitii/PAAP AUGUST 2024.pdf,https://isc.gov.ro/program_achizitii_2024.html
235,Inspectoratul de Stat in Constructii (ISC),PAAP IUNIE 2024,https://isc.gov.ro/files/2024/Achizitii/PAAP IUNIE 2024.pdf,https://isc.gov.ro/program_achizitii_2024.html
236,Inspectoratul de Stat in Constructii (ISC),PAAP MAI 2024,https://isc.gov.ro/files/2024/Achizitii/PAAP MAI 2024.pdf,https://isc.gov.ro/program_achizitii_2024.html
237,Inspectoratul de Stat in Constructii (ISC),PAAP Martie 2024,https://isc.gov.ro/files/2024/Achizitii/PAAP Martie 2024.pdf,https://isc.gov.ro/program_achizitii_2024.html
238,Inspectoratul de Stat in Constructii (ISC),PAAP Februarie 2024,https://isc.gov.ro/files/2024/Achizitii/PAAP Februarie 2024.pdf,https://isc.gov.ro/program_achizitii_2024.html
239,Inspectoratul de Stat in Constructii (ISC),PAAP Proiect 2024,https://isc.gov.ro/files/2024/Achizitii/PAAP Proiect 2024.pdf,https://isc.gov.ro/program_achizitii_2024.html
240,Inspectoratul de Stat in Constructii (ISC),PAAP nov,https://isc.gov.ro/files/2017/Achizitii/PAAP nov.pdf,https://isc.gov.ro/program_achizitii_2017.html
241,Inspectoratul de Stat in Constructii (ISC),PAAP oct revizuit 2,https://isc.gov.ro/files/2017/Achizitii/PAAP oct revizuit 2.pdf,https://isc.gov.ro/program_achizitii_2017.html
242,Inspectoratul de Stat in Constructii (ISC),PAAP oct revizuit 1,https://isc.gov.ro/files/2017/Achizitii/PAAP oct revizuit 1.pdf,https://isc.gov.ro/program_achizitii_2017.html
243,Inspectoratul de Stat in Constructii (ISC),PAAP IULIE 2017,https://isc.gov.ro/files/2017/Achizitii/PAAP IULIE 2017.pdf,https://isc.gov.ro/program_achizitii_2017.html
244,Inspectoratul de Stat in Constructii (ISC),PAAP Iunie 2017,https://isc.gov.ro/files/2017/Achizitii/PAAP Iunie 2017.pdf,https://isc.gov.ro/program_achizitii_2017.html
245,Inspectoratul de Stat in Constructii (ISC),PAAP Mai 2017,https://isc.gov.ro/files/2017/Achizitii/PAAP Mai 2017.pdf,https://isc.gov.ro/program_achizitii_2017.html
246,Inspectoratul de Stat in Constructii (ISC),PAAP martie 2017,https://isc.gov.ro/files/2017/Achizitii/PAAP martie 2017.pdf,https://isc.gov.ro/program_achizitii_2017.html
247,Inspectoratul de Stat in Constructii (ISC),PAAP Februarie   Revizuit I,https://isc.gov.ro/files/2017/Achizitii/PAAP Februarie - Revizuit I.pdf,https://isc.gov.ro/program_achizitii_2017.html
248,Inspectoratul de Stat in Constructii (ISC),PAAP februarie 2017,https://isc.gov.ro/files/2017/Achizitii/PAAP februarie 2017.pdf,https://isc.gov.ro/program_achizitii_2017.html
249,Inspectoratul de Stat in Constructii (ISC),PAAP 2017,https://isc.gov.ro/files/2016/Achizitii/PAAP 2017.pdf,https://isc.gov.ro/program_achizitii_2017.html
250,Inspectoratul de Stat in Constructii (ISC),PAAP DECEMBRIE 2021,https://isc.gov.ro/files/2021/Achizitii/PAAP DECEMBRIE 2021.pdf,https://isc.gov.ro/program_achizitii_2021.html
251,Inspectoratul de Stat in Constructii (ISC),PAAP 2021 Noiembrie   publicat,https://isc.gov.ro/files/2021/Achizitii/PAAP 2021 Noiembrie - publicat.pdf,https://isc.gov.ro/program_achizitii_2021.html
252,Inspectoratul de Stat in Constructii (ISC),PAAP 2021 Octombrie Revizuit 1   publicat,https://isc.gov.ro/files/2021/Achizitii/PAAP 2021 Octombrie Revizuit 1 - publicat.pdf,https://isc.gov.ro/program_achizitii_2021.html
253,Inspectoratul de Stat in Constructii (ISC),PAAP 2021 Octombrie   publicat,https://isc.gov.ro/files/2021/Achizitii/PAAP 2021 Octombrie - publicat.pdf,https://isc.gov.ro/program_achizitii_2021.html
254,Inspectoratul de Stat in Constructii (ISC),PAAP 2021 August   publicat,https://isc.gov.ro/files/2021/Achizitii/PAAP 2021 August - publicat.pdf,https://isc.gov.ro/program_achizitii_2021.html
255,Inspectoratul de Stat in Constructii (ISC),PAAP 2021 Iulie   Publicat,https://isc.gov.ro/files/2021/Achizitii/PAAP 2021 Iulie - Publicat.pdf,https://isc.gov.ro/program_achizitii_2021.html
256,Inspectoratul de Stat in Constructii (ISC),PAAP 2021 Iunie   Publicat,https://isc.gov.ro/files/2021/Achizitii/PAAP 2021 Iunie - Publicat.pdf,https://isc.gov.ro/program_achizitii_2021.html
257,Inspectoratul de Stat in Constructii (ISC),PAAP 2021 Mai   Publicat,https://isc.gov.ro/files/2021/Achizitii/PAAP 2021 Mai - Publicat.pdf,https://isc.gov.ro/program_achizitii_2021.html
258,Inspectoratul de Stat in Constructii (ISC),PAAP 2021 Martie   Revizuit 1 publicat,https://isc.gov.ro/files/2021/Achizitii/PAAP 2021 Martie - Revizuit 1 publicat.pdf,https://isc.gov.ro/program_achizitii_2021.html
259,Inspectoratul de Stat in Constructii (ISC),PAAP 2021 Martie   Publicat,https://isc.gov.ro/files/2021/Achizitii/PAAP 2021 Martie - Publicat.pdf,https://isc.gov.ro/program_achizitii_2021.html
260,Inspectoratul de Stat in Constructii (ISC),PAAP Proiect 2021,https://isc.gov.ro/files/2021/Achizitii/PAAP Proiect 2021.pdf,https://isc.gov.ro/program_achizitii_2021.html
261,Inspectoratul de Stat in Constructii (ISC),PAAP Decembrie 2016,https://isc.gov.ro/files/2016/Achizitii/PAAP Decembrie 2016.pdf,https://isc.gov.ro/program_achizitii_2016.html
262,Inspectoratul de Stat in Constructii (ISC),PAAP Noiembrie 2016,https://isc.gov.ro/files/2016/Achizitii/PAAP Noiembrie 2016.pdf,https://isc.gov.ro/program_achizitii_2016.html
263,Inspectoratul de Stat in Constructii (ISC),PAAP octombrie 2016,https://isc.gov.ro/files/2016/Achizitii/PAAP octombrie 2016.pdf,https://isc.gov.ro/program_achizitii_2016.html
264,Inspectoratul de Stat in Constructii (ISC),PAAP SEPTEMBRIE Revizuit 2016,https://isc.gov.ro/files/2016/Achizitii/PAAP SEPTEMBRIE Revizuit 2016.pdf,https://isc.gov.ro/program_achizitii_2016.html
265,Inspectoratul de Stat in Constructii (ISC),PAAP Septembrie 2016,https://isc.gov.ro/files/2016/Achizitii/PAAP Septembrie 2016.pdf,https://isc.gov.ro/program_achizitii_2016.html
266,Inspectoratul de Stat in Constructii (ISC),PAAP IULIE 2016 REVIZUIT I,https://isc.gov.ro/files/2016/Achizitii/PAAP IULIE 2016 REVIZUIT I.pdf,https://isc.gov.ro/program_achizitii_2016.html
267,Inspectoratul de Stat in Constructii (ISC),PAAP IULIE 2016,https://isc.gov.ro/files/2016/Achizitii/PAAP IULIE 2016.pdf,https://isc.gov.ro/program_achizitii_2016.html
268,Inspectoratul de Stat in Constructii (ISC),PAAP MAI 2016,https://isc.gov.ro/files/2016/Achizitii/PAAP MAI 2016.pdf,https://isc.gov.ro/program_achizitii_2016.html
269,Inspectoratul de Stat in Constructii (ISC),PAAP martie 2016,https://isc.gov.ro/files/2016/Achizitii/PAAP martie 2016.pdf,https://isc.gov.ro/program_achizitii_2016.html
270,Inspectoratul de Stat in Constructii (ISC),PAAP februarie 2016,https://isc.gov.ro/files/2016/Achizitii/PAAP februarie 2016.pdf,https://isc.gov.ro/program_achizitii_2016.html
271,Inspectoratul de Stat in Constructii (ISC),PAAP ianuarie 2016,https://isc.gov.ro/files/2016/Achizitii/PAAP ianuarie 2016.pdf,https://isc.gov.ro/program_achizitii_2016.html
272,Inspectoratul de Stat in Constructii (ISC),PAAP 2016 Proiect,https://isc.gov.ro/files/2016/Achizitii/PAAP 2016 Proiect.pdf,https://isc.gov.ro/program_achizitii_2016.html
273,Inspectoratul de Stat in Constructii (ISC),Programul anual al achizitiilor publice revizuit I decembrie 2015,https://isc.gov.ro/files/2016/Achizitii/Programul anual al achizitiilor publice revizuit I-decembrie 2015.pdf,https://isc.gov.ro/program_achizitii_2015.html
274,Inspectoratul de Stat in Constructii (ISC),PAAP decembrie 2015,https://isc.gov.ro/files/2016/Achizitii/PAAP decembrie 2015.pdf,https://isc.gov.ro/program_achizitii_2015.html
275,Inspectoratul de Stat in Constructii (ISC),PAAP Octombrie 2015,https://isc.gov.ro/files/2016/Achizitii/PAAP Octombrie 2015.pdf,https://isc.gov.ro/program_achizitii_2015.html
276,Inspectoratul de Stat in Constructii (ISC),PAAP SEPTEMBRIE REVIZUIT I 02.10.2015,https://isc.gov.ro/files/2016/Achizitii/PAAP SEPTEMBRIE REVIZUIT I-02.10.2015.pdf,https://isc.gov.ro/program_achizitii_2015.html
277,Inspectoratul de Stat in Constructii (ISC),PAAP septembrie 2015,https://isc.gov.ro/files/2016/Achizitii/PAAP-septembrie-2015.pdf,https://isc.gov.ro/program_achizitii_2015.html
278,Inspectoratul de Stat in Constructii (ISC),PAAP august 2015,https://isc.gov.ro/files/2016/Achizitii/PAAP-august-2015.pdf,https://isc.gov.ro/program_achizitii_2015.html
279,Inspectoratul de Stat in Constructii (ISC),PAAP aprilie 2015,https://isc.gov.ro/files/2016/Achizitii/PAAP_aprilie_2015.pdf,https://isc.gov.ro/program_achizitii_2015.html
280,Inspectoratul de Stat in Constructii (ISC),PAAP martie 2015,https://isc.gov.ro/files/2016/Achizitii/PAAP-martie-2015.pdf,https://isc.gov.ro/program_achizitii_2015.html
281,Inspectoratul de Stat in Constructii (ISC),PAAP 01 2015,https://isc.gov.ro/files/2016/Achizitii/PAAP_01_2015.pdf,https://isc.gov.ro/program_achizitii_2015.html
282,Inspectoratul de Stat in Constructii (ISC),PAAP proiect 2015,https://isc.gov.ro/files/2016/Achizitii/PAAP_proiect_2015.pdf,https://isc.gov.ro/program_achizitii_2015.html
283,Inspectoratul de Stat in Constructii (ISC),PAAP Decembrie 2018,https://isc.gov.ro/files/2018/Achizitii/PAAP Decembrie 2018.pdf,https://isc.gov.ro/program_achizitii_2018.html
284,Inspectoratul de Stat in Constructii (ISC),PAAP nov,https://isc.gov.ro/files/2018/Achizitii/PAAP nov.pdf,https://isc.gov.ro/program_achizitii_2018.html
285,Inspectoratul de Stat in Constructii (ISC),PAAP septembrie,https://isc.gov.ro/files/2018/Achizitii/PAAP septembrie.pdf,https://isc.gov.ro/program_achizitii_2018.html
286,Inspectoratul de Stat in Constructii (ISC),PAAP august 2018 revizuit,https://isc.gov.ro/files/2018/Achizitii/PAAP august 2018 revizuit.pdf,https://isc.gov.ro/program_achizitii_2018.html
287,Inspectoratul de Stat in Constructii (ISC),PAAP august 2018,https://isc.gov.ro/files/2018/Achizitii/PAAP august 2018.pdf,https://isc.gov.ro/program_achizitii_2018.html
288,Inspectoratul de Stat in Constructii (ISC),PAAP August,https://isc.gov.ro/files/2018/Achizitii/PAAP August.pdf,https://isc.gov.ro/program_achizitii_2018.html
289,Inspectoratul de Stat in Constructii (ISC),PAAP iulie 2018,https://isc.gov.ro/files/2018/Achizitii/PAAP iulie 2018.pdf,https://isc.gov.ro/program_achizitii_2018.html
290,Inspectoratul de Stat in Constructii (ISC),PAAP iunie 2018 v2,https://isc.gov.ro/files/2018/Achizitii/PAAP iunie 2018 v2.pdf,https://isc.gov.ro/program_achizitii_2018.html
291,Inspectoratul de Stat in Constructii (ISC),PAAP iunie 2018 22551,https://isc.gov.ro/files/2018/Achizitii/PAAP iunie 2018 22551.pdf,https://isc.gov.ro/program_achizitii_2018.html
292,Inspectoratul de Stat in Constructii (ISC),PAAP aprilie 14605,https://isc.gov.ro/files/2018/Achizitii/PAAP aprilie 14605.pdf,https://isc.gov.ro/program_achizitii_2018.html
293,Inspectoratul de Stat in Constructii (ISC),PAAP nr. 9275 23.03.2018,https://isc.gov.ro/files/2018/Achizitii/PAAP nr. 9275-23.03.2018.pdf,https://isc.gov.ro/program_achizitii_2018.html
294,Inspectoratul de Stat in Constructii (ISC),PAAP FEBRUARIE 2018,https://isc.gov.ro/files/2018/Achizitii/PAAP FEBRUARIE 2018.pdf,https://isc.gov.ro/program_achizitii_2018.html
